Time [s],Packet ID,MOSI,MISO
13.679024500000001,0,0x00,0x47
13.679297999999999,0,0x01,0x1F
13.679600499999999,0,0x80,0xFF
13.679988000000000,0,0x00,0xFF
13.680280000000000,0,0x00,0xFF
13.682047000000001,1,0x00,0x4F
13.682321000000000,1,0x00,0x60
13.682604500000000,1,0x00,0x3F
13.682900000000000,1,0x80,0xFF
13.685288500000000,2,0x00,0x24
13.685561999999999,2,0x01,0x9F
13.686858500000000,2,0x40,0xFF
13.687151999999999,2,0x00,0xFF
13.687444500000000,2,0x00,0xFF
13.691686499999999,3,0x00,0x06
13.691872000000000,3,0x01,0x9F
13.692166500000001,3,0x00,0xFF
13.692456999999999,3,0x3F,0xFF
13.692749500000000,3,0xFF,0xFF
13.693041500000000,3,0xFF,0xFF
13.693333000000001,3,0x02,0xFF
78.585643000000005,4,0x00,0x03
78.585836499999999,4,0x00,0x1F
78.586129999999997,4,0x80,0xFF
78.586420500000003,4,0x1B,0xFF
79.881763000000007,5,0x00,0x27
79.882037499999996,5,0x02,0xFF
79.882338000000004,5,0x40,0xFF
79.882630500000005,5,0x00,0xFF
79.882921999999994,5,0x00,0xFF
79.883213999999995,5,0x0E,0xFF
79.885864999999995,6,0x00,0x04
79.886049999999997,6,0x00,0x00
79.886332499999995,6,0x00,0x73
79.886717000000004,6,0x40,0xFF
79.887009500000005,6,0x31,0xFF
79.889064500000003,7,0x00,0x07
79.889249000000007,7,0x00,0x90
79.889522999999997,7,0x00,0x1F
79.889811499999993,7,0x00,0xFF
79.890103999999994,7,0x18,0xFF
79.891834500000002,8,0x00,0x48
79.892107999999993,8,0x00,0x00
79.892292999999995,8,0x00,0x00
79.892566500000001,8,0x00,0x00
79.892841000000004,8,0x00,0x00
79.893114499999996,8,0x00,0x00
79.893387500000003,8,0x00,0x06
79.893663000000004,8,0x02,0xFF
79.894962000000007,8,0x00,0xFF
79.897814999999994,9,0x00,0x05
79.897999499999997,9,0x00,0x2F
79.898293499999994,9,0xA0,0xFF
79.898585999999995,9,0x20,0xFF
79.898877499999998,9,0x00,0xFF
79.899169000000001,9,0x84,0xFF
79.899462499999998,9,0x89,0xFF
79.901178000000002,10,0x00,0x60
79.901452500000005,10,0x00,0x00
79.901727500000007,10,0x00,0x10
79.902001999999996,10,0x00,0x11
79.902276499999999,10,0x00,0x1F
79.902569999999997,10,0x90,0xFF
79.905405999999999,11,0x00,0x20
79.905690500000006,11,0x00,0x40
79.905963499999999,11,0x00,0x00
79.906238000000002,11,0x00,0x00
79.906512500000005,11,0x00,0x00
79.906886000000000,11,0x00,0xF3
79.907267500000003,11,0x40,0xFF
79.907464000000004,11,0x0F,0xFF
83.877492000000004,12,0x00,0x24
83.877765999999994,12,0x05,0xFF
83.878066500000003,12,0x00,0xFF
83.878358000000006,12,0x00,0xFF
83.878651500000004,12,0x10,0xFF
83.881626999999995,13,0x00,0x48
83.881900999999999,13,0x00,0x00
83.882175500000002,13,0x00,0xF7
83.882469999999998,13,0x40,0xFF
83.884812499999995,14,0x00,0x07
83.884997499999997,14,0x00,0x6F
83.885290999999995,14,0x90,0xFF
83.885581500000001,14,0x00,0xFF
83.885873000000004,14,0x00,0xFF
83.886165000000005,14,0x45,0xFF
83.886361500000007,14,0x02,0xFF
83.888175000000004,15,0x00,0x54
83.888450500000005,15,0x00,0x00
83.888813999999996,15,0x00,0x24
83.889088500000000,15,0x00,0x26
83.890364000000005,15,0x02,0xBF
83.890664500000000,15,0x00,0xFF
83.892405999999994,16,0x00,0x02
83.892680499999997,16,0x00,0x48
83.892955000000001,16,0x00,0x00
83.893230500000001,16,0x00,0x00
83.893504500000006,16,0x00,0x00
83.893869499999994,16,0x02,0x4F
83.894164500000002,16,0x80,0xFF
87.863934000000000,17,0x00,0x47
87.864207500000006,17,0x02,0x1F
87.865510000000000,17,0x60,0xFF
87.865706500000002,17,0x00,0xFF
87.866094000000004,17,0x04,0xFF
87.866290500000005,17,0x1C,0xFF
87.868069000000006,18,0x00,0x04
87.868343999999993,18,0x00,0x01
87.868618499999997,18,0x01,0xFF
87.869009000000005,18,0x40,0xFF
87.871254500000006,19,0x00,0x02
87.871528999999995,19,0x02,0xBF
87.871829000000005,19,0x40,0xFF
87.872120499999994,19,0x60,0xFF
87.872414000000006,19,0x01,0xFF
87.872705499999995,19,0x01,0xFF
87.875617500000004,20,0x00,0x52
87.875900999999999,20,0x00,0x00
87.876184499999994,20,0x00,0x20
87.876458999999997,20,0x00,0x00
87.876822500000003,20,0x01,0x7F
87.877123499999996,20,0x40,0xFF
87.878863999999993,21,0x00,0x00
87.879048499999996,21,0x00,0xA0
87.879322999999999,21,0x00,0x00
87.879597500000003,21,0x00,0x00
87.879960999999994,21,0x00,0x00
87.880244000000005,21,0x00,0x04
87.880542500000004,21,0x2A,0xFF
87.880833999999993,21,0x03,0xFF
89.866676499999997,22,0x00,0x26
89.866950500000002,22,0x02,0x1F
89.868253499999994,22,0x60,0xFF
89.868544999999997,22,0x00,0xFF
89.868837499999998,22,0x04,0xFF
89.869129000000001,22,0x09,0xFF
89.870793000000006,23,0x00,0x44
89.871067499999995,23,0x00,0x00
89.871350000000007,23,0x00,0x9F
89.871645500000000,23,0x40,0xFF
89.873800500000002,24,0x00,0x44
89.873984500000006,24,0x00,0x1B
89.874274000000000,24,0x38,0xFF
89.874660500000005,24,0x00,0xFF
89.874857000000006,24,0x00,0xFF
89.875148499999995,24,0x1F,0xFF
89.875534999999999,24,0xFF,0xFF
89.875827500000000,24,0xFF,0xFF
89.876119000000003,24,0x00,0xFF
89.876410000000007,24,0x00,0xFF
89.876702499999993,24,0x00,0xFF
89.876898999999995,24,0x20,0xFF
89.878193499999995,24,0xD6,0xFF
89.878485999999995,24,0x90,0xFF
89.878777499999998,24,0xEB,0xFF
89.879069000000001,24,0x18,0xFF
89.879359500000007,24,0x40,0xFF
91.851375000000004,25,0x00,0x47
91.851647999999997,25,0x02,0x9F
91.851854500000002,25,0x80,0xFF
91.852241000000006,25,0x00,0xFF
91.852437499999994,25,0x04,0xFF
91.852729499999995,25,0x00,0xFF
91.854507999999996,26,0x00,0x10
91.854782499999999,26,0x00,0x03
91.855058000000000,26,0x01,0xDF
91.855352499999995,26,0x00,0xFF
91.857693999999995,27,0x00,0x02
91.857967000000002,27,0x01,0x5F
91.858267499999997,27,0x20,0xFF
91.858559999999997,27,0x00,0xFF
91.858756499999998,27,0x00,0xFF
91.859048500000000,27,0x80,0xFF
91.859341000000001,27,0x86,0xFF
91.862056999999993,28,0x00,0x60
91.862331499999996,28,0x00,0x00
91.862606999999997,28,0x00,0x10
91.862881000000002,28,0x00,0x11
91.863154499999993,28,0x01,0x3F
91.863449000000003,28,0x50,0xFF
91.865285499999999,29,0x00,0x08
91.865470000000002,29,0x00,0x20
91.865834500000005,29,0x00,0x00
91.866109499999993,29,0x00,0x00
91.866382999999999,29,0x00,0x00
91.866657500000002,29,0x00,0x3D
91.866946999999996,29,0x2A,0xFF
91.867238499999999,29,0x06,0xFF
95.837965999999994,30,0x00,0x27
95.838150499999998,30,0x00,0xCF
95.838444999999993,30,0x80,0xFF
95.838736999999995,30,0x00,0xFF
95.839028499999998,30,0x02,0xFF
95.839320000000001,30,0x00,0xFF
95.841099499999999,31,0x00,0x04
95.841374000000002,31,0x00,0x03
95.841649500000003,31,0x01,0xEF
95.841943499999999,31,0x00,0xFF
95.844284000000002,32,0x00,0x66
95.844558500000005,32,0x02,0xDF
95.844764499999997,32,0x90,0xFF
95.845055000000002,32,0x20,0xFF
95.846348000000006,32,0x00,0xFF
95.846639499999995,32,0x40,0xFF
95.846931999999995,32,0x46,0xFF
95.848645500000003,33,0x00,0x52
95.848920500000006,33,0x00,0x00
95.849193999999997,33,0x00,0x02
95.849468500000000,33,0x00,0x01
95.849833000000004,33,0x02,0xFF
95.850133499999998,33,0x40,0xFF
95.851873999999995,34,0x00,0x08
95.852148000000000,34,0x00,0x24
95.852332500000003,34,0x00,0x00
95.852698000000004,34,0x00,0x00
95.852972500000007,34,0x00,0x04
95.853246999999996,34,0x00,0x17
95.853631500000006,34,0x40,0xFF
95.853921999999997,34,0x18,0xFF
99.823353499999996,35,0x00,0x20
99.823628999999997,35,0x0A,0x3F
99.823929500000006,35,0x00,0xFF
99.824220999999994,35,0x00,0xFF
99.824513499999995,35,0x10,0xFF
99.826487000000000,36,0x00,0x04
99.826761500000003,36,0x00,0x03
99.827037000000004,36,0x00,0xDF
99.827331500000000,36,0x80,0xFF
99.831826500000005,37,0x00,0x65
99.832100999999994,37,0x0A,0x3F
99.832402500000001,37,0x80,0xFF
99.832694000000004,37,0x80,0xFF
99.832986500000004,37,0x02,0xFF
99.833278500000006,37,0x04,0xFF
99.835185499999994,38,0x00,0x50
99.835459000000000,38,0x00,0x00
99.835741999999996,38,0x00,0x04
99.835927499999997,38,0x00,0x92
99.836201000000003,38,0x00,0x27
99.836490499999996,38,0x20,0xFF
99.836781500000001,38,0x06,0xFF
99.838653500000007,39,0x00,0x29
99.838936500000003,39,0x00,0x1F
99.839209999999994,39,0x00,0x05
99.839493500000003,39,0x00,0x00
99.839766999999995,39,0x00,0x23
99.840041499999998,39,0x00,0xAF
99.840315500000003,39,0x00,0x20
99.841500499999995,39,0x00,0x05
99.841864000000001,39,0x00,0xB6
99.842137500000007,39,0x00,0x18
99.842322499999995,39,0x14,0xFF
99.842623000000003,39,0x01,0xFF
102.891981000000001,40,0x00,0x27
102.892165500000004,40,0x01,0x4F
102.892459500000001,40,0x00,0xFF
102.892751000000004,40,0x00,0xFF
102.893043500000005,40,0x02,0xFF
102.893334999999993,40,0x0C,0xFF
102.896114999999995,41,0x00,0x06
102.896388500000000,41,0x00,0x00
102.896662500000005,41,0x00,0x77
102.896862999999996,41,0x20,0xFF
102.899618000000004,42,0x00,0x62
102.899892500000007,42,0x01,0xDF
102.900193500000000,42,0x40,0xFF
102.900485000000003,42,0x40,0xFF
102.900777500000004,42,0x02,0xFF
102.901069000000007,42,0x01,0xFF
102.901361499999993,42,0x09,0xFF
102.902978500000003,43,0x00,0x21
102.903163000000006,43,0x00,0x00
102.903436499999998,43,0x00,0x02
102.903709500000005,43,0x00,0x00
102.903985000000006,43,0x00,0x13
102.904273500000002,43,0x09,0xFF
102.905566500000006,43,0x03,0xFF
102.907352000000003,44,0x00,0x29
102.907625999999993,44,0x00,0x1F
102.907900499999997,44,0x00,0x09
102.908174000000002,44,0x00,0x00
102.908449500000003,44,0x00,0x90
102.908724000000007,44,0x00,0x06
102.908997999999997,44,0x00,0x40
102.909271500000003,44,0x00,0xDD
102.909544999999994,44,0x00,0x19
102.909819499999998,44,0x00,0x17
102.910110000000003,44,0x10,0xFF
102.910400999999993,44,0x06,0xFF
106.824799999999996,45,0x00,0x27
106.824984499999999,45,0x01,0xCF
106.825278499999996,45,0x48,0xFF
106.825569000000002,45,0x00,0xFF
106.825860500000005,45,0x00,0xFF
106.826154000000002,45,0x00,0xFF
106.827932500000003,46,0x00,0x06
106.828205999999994,46,0x00,0x00
106.828480999999996,46,0x01,0x7F
106.828776500000004,46,0x40,0xFF
106.829066999999995,46,0x1E,0xFF
106.832437999999996,47,0x00,0x63
106.832712999999998,47,0x05,0xBF
106.833012499999995,47,0x40,0xFF
106.833208999999997,47,0x20,0xFF
106.833596499999999,47,0x00,0xFF
106.833793000000000,47,0x92,0xFF
106.834084000000004,47,0x1E,0xFF
106.835797499999998,48,0x00,0x60
106.835982000000001,48,0x00,0x00
106.836254999999994,48,0x00,0x01
106.836528500000000,48,0x00,0x01
106.836802000000006,48,0x00,0x1D
106.837091500000000,48,0x14,0xFF
106.837287500000002,48,0x01,0xFF
106.839168500000000,49,0x00,0x28
106.839443000000003,49,0x00,0x1F
106.839716999999993,49,0x00,0x04
106.840903999999995,49,0x00,0x80
106.841177999999999,49,0x00,0x14
106.841451500000005,49,0x00,0x53
106.841725999999994,49,0x00,0x48
106.842000499999997,49,0x00,0x86
106.842275000000001,49,0x00,0xDB
106.842549000000005,49,0x00,0x1B
106.842823499999994,49,0x04,0x7F
106.843123000000006,49,0x00,0xFF
110.757531999999998,50,0x00,0x24
110.757806500000001,50,0x05,0xFF
110.758106499999997,50,0x00,0xFF
110.758398000000000,50,0x00,0xFF
110.758691499999998,50,0x08,0xFF
110.758983000000001,50,0x38,0xFF
110.760664500000004,51,0x00,0x06
110.760938499999995,51,0x00,0x00
110.761212999999998,51,0x00,0xFF
110.761508500000005,51,0x80,0xFF
110.764168499999997,52,0x00,0x61
110.764655000000005,52,0x05,0xDF
110.766054999999994,52,0x01,0xFF
110.766250999999997,52,0x00,0xFF
110.766543499999997,52,0x02,0xFF
110.766835000000000,52,0x02,0xFF
110.767126500000003,52,0x3C,0xFF
110.768743999999998,53,0x00,0x50
110.769017000000005,53,0x00,0x00
110.769291499999994,53,0x00,0x01
110.769565999999998,53,0x00,0x04
110.769849500000007,53,0x01,0x27
110.770145499999998,53,0x40,0xFF
110.770436000000004,53,0x31,0xFF
110.772124500000004,54,0x00,0x28
110.772398999999993,54,0x00,0x1F
110.772673499999996,54,0x00,0x05
110.772947500000001,54,0x00,0x00
110.773230999999996,54,0x00,0x82
110.773506499999996,54,0x00,0xBE
110.773870000000002,54,0x00,0x02
110.774054500000005,54,0x00,0x3B
110.774328499999996,54,0x00,0x72
110.774602999999999,54,0x00,0x6F
110.774892500000007,54,0x54,0xFF
110.776186499999994,54,0x0F,0xFF
114.691873000000001,55,0x00,0x24
114.692147500000004,55,0x0A,0xFF
114.692448999999996,55,0xC0,0xFF
114.692741499999997,55,0x00,0xFF
114.693033999999997,55,0x10,0xFF
114.695007500000003,56,0x00,0x04
114.695282000000006,56,0x00,0x01
114.695646499999995,56,0x05,0xDF
114.695947000000004,56,0x41,0xFF
114.698510499999998,57,0x00,0x66
114.698785000000001,57,0x02,0xDF
114.699085499999995,57,0x40,0xFF
114.699377999999996,57,0x80,0xFF
114.699669999999998,57,0x00,0xFF
114.699961500000001,57,0x49,0xFF
114.701254500000005,57,0x0C,0xFF
114.702871500000001,58,0x00,0x68
114.703056000000004,58,0x00,0x00
114.703420499999993,58,0x00,0x02
114.703694999999996,58,0x00,0x41
114.703969499999999,58,0x00,0xDF
114.704263499999996,58,0x40,0xFF
114.706243499999999,59,0x00,0x28
114.706518000000003,59,0x00,0x1F
114.706702000000007,59,0x00,0x82
114.706975499999999,59,0x00,0x40
114.707250999999999,59,0x00,0x41
114.707525500000003,59,0x00,0xD1
114.707798499999996,59,0x00,0xE0
114.708073999999996,59,0x00,0x43
114.708347500000002,59,0x00,0xDF
114.708622000000005,59,0x00,0x18
114.708896499999994,59,0x09,0xFF
114.709293000000002,59,0x03,0xFF
118.624668999999997,60,0x00,0x26
118.624943500000001,60,0x04,0xFF
118.625244499999994,60,0x40,0xFF
118.626538499999995,60,0x00,0xFF
118.626734999999996,60,0x04,0xFF
118.627027499999997,60,0x00,0xFF
118.628805000000000,61,0x00,0x04
118.629080000000002,61,0x00,0x00
118.629354500000005,61,0x01,0xEF
118.629649000000001,61,0x50,0xFF
118.632310000000004,62,0x00,0x04
118.632582999999997,62,0x02,0xBF
118.632884500000003,62,0x80,0xFF
118.633176000000006,62,0x80,0xFF
118.633469500000004,62,0x04,0xFF
118.633759999999995,62,0x48,0xFF
118.634051999999997,62,0x3C,0xFF
118.636668999999998,63,0x00,0x2A
118.636943500000001,63,0x00,0x00
118.637128500000003,63,0x00,0x00
118.637491999999995,63,0x00,0x24
118.637766499999998,63,0x00,0x27
118.638060999999993,63,0xA0,0xFF
118.638257999999993,63,0x0C,0xFF
118.640041499999995,64,0x00,0x28
118.640315999999999,64,0x00,0x7F
118.640589500000004,64,0x00,0x09
118.640863999999993,64,0x00,0x00
118.641057000000004,64,0x00,0x43
118.641421500000007,64,0x00,0x1A
118.641695999999996,64,0x00,0x41
118.641970499999999,64,0x00,0x1B
118.642245000000003,64,0x00,0x72
118.642518999999993,64,0x00,0x17
118.642808500000001,64,0x10,0xFF
118.643100000000004,64,0x0C,0xFF
122.562150500000001,65,0x00,0x27
122.562433999999996,65,0x02,0xFF
122.562735500000002,65,0x00,0xFF
122.563028000000003,65,0x00,0xFF
122.563319000000007,65,0x00,0xFF
122.565228000000005,66,0x00,0x01
122.565501499999996,66,0x00,0x00
122.565776499999998,66,0x00,0xFF
122.566072000000005,66,0xA0,0xFF
122.568155000000004,67,0x00,0x00
122.568429499999993,67,0x00,0xCB
122.568724000000003,67,0x48,0xFF
122.569015500000006,67,0x03,0xFF
122.569307499999994,67,0x78,0xFF
122.569503999999995,67,0x08,0xFF
122.569891499999997,67,0x3A,0xFF
122.570087999999998,67,0xD2,0xFF
122.570379000000003,67,0x00,0xFF
122.570671500000003,67,0x00,0xFF
122.572061500000004,67,0x20,0xFF
122.572361999999998,67,0x20,0xFF
122.572655499999996,67,0x1A,0xFF
122.572946999999999,67,0x40,0xFF
122.573256499999999,67,0x00,0xFF
122.573548500000001,67,0x00,0xFF
122.573936500000002,67,0x70,0xFF
122.606232000000006,68,0x00,0x27
122.606532500000000,68,0x01,0x1F
122.606832999999995,68,0x20,0xFF
122.607029999999995,68,0x80,0xFF
122.607434499999997,68,0x00,0xFF
122.609403499999999,69,0x00,0x04
122.609587500000004,69,0x00,0x00
122.609960000000001,69,0x00,0xEB
122.610160500000006,69,0x20,0xFF
122.610451999999995,69,0x3A,0xFF
122.613223000000005,70,0x00,0x4C
122.613533000000004,70,0x05,0xFF
122.613833499999998,70,0x85,0xFF
122.614221000000001,70,0x0E,0xFF
122.614529500000003,70,0x1E,0xFF
122.614822000000004,70,0x05,0xFF
122.615017499999993,70,0x00,0xFF
122.615309999999994,70,0x64,0xFF
122.615600999999998,70,0x1C,0xFF
122.615892500000001,70,0x20,0xFF
122.616279000000006,70,0x60,0xFF
122.616501499999998,70,0xF4,0xFF
122.618314999999996,71,0x00,0x04
122.618499499999999,71,0x00,0x00
122.618773500000003,71,0x00,0xEF
122.619062999999997,71,0x50,0xFF
122.619353500000003,71,0x15,0xFF
122.623230000000007,72,0x00,0x58
122.623513500000001,72,0x00,0x00
122.623795999999999,72,0x00,0x00
122.624071000000001,72,0x00,0x00
122.624344500000007,72,0x0A,0xBF
122.624645000000001,72,0x81,0xFF
122.639919500000005,73,0x00,0x27
122.640203000000000,73,0x02,0xFF
122.640520499999994,73,0x61,0xFF
122.640812999999994,73,0x02,0xFF
122.642106499999997,73,0x48,0xFF
122.642398000000000,73,0x1C,0xFF
122.644091500000002,74,0x00,0x00
122.644364999999993,74,0x00,0x00
122.644549999999995,74,0x00,0x77
122.644848499999995,74,0x50,0xFF
122.645139999999998,74,0x1D,0xFF
122.646909500000007,75,0x00,0x21
122.647289999999998,75,0x15,0xFF
122.647494499999993,75,0x84,0xFF
122.647786499999995,75,0x03,0xFF
122.648077999999998,75,0xB6,0xFF
122.648465500000000,75,0x09,0xFF
122.648662000000002,75,0x00,0xFF
122.649049500000004,75,0xF0,0xFF
122.649343000000002,75,0x72,0xFF
122.649642499999999,75,0x40,0xFF
122.649934999999999,75,0x80,0xFF
122.650226000000004,75,0x36,0xFF
122.653073000000006,76,0x00,0x40
122.653266500000001,76,0x00,0x01
122.653631000000004,76,0x00,0xB7
122.653925500000000,76,0xA0,0xFF
122.654217000000003,76,0x15,0xFF
122.669898000000003,77,0x00,0x23
122.670091499999998,77,0x01,0xCF
122.670385499999995,77,0x40,0xFF
122.670677999999995,77,0x81,0xFF
122.672067999999996,77,0x24,0xFF
122.672264499999997,77,0x04,0xFF
122.674036000000001,78,0x00,0x48
122.674310000000006,78,0x00,0x00
122.674495500000006,78,0x00,0x75
122.674784000000002,78,0x28,0xFF
122.675074499999994,78,0x02,0xFF
122.676845000000000,79,0x00,0x24
122.677128999999994,79,0x04,0x7F
122.677429500000002,79,0x42,0xFF
122.677722000000003,79,0xC3,0xFF
122.678013500000006,79,0xDA,0xFF
122.678304999999995,79,0x44,0xFF
122.678597499999995,79,0x18,0xFF
122.678888499999999,79,0x7C,0xFF
122.679181000000000,79,0x05,0xFF
122.679472500000003,79,0x11,0xFF
122.679772000000000,79,0x20,0xFF
122.680065499999998,79,0x00,0xFF
122.680357999999998,79,0x00,0xFF
122.680762500000000,79,0x16,0xFF
122.683718499999998,80,0x00,0x02
122.683992000000003,80,0x00,0x00
122.684275499999998,80,0x00,0x6B
122.684475500000005,80,0x20,0xFF
122.684765999999996,80,0x05,0xFF
122.690559500000006,81,0x00,0x5A
122.690869500000005,81,0x00,0x18
122.692146500000007,81,0x00,0x58
122.692430000000002,81,0x00,0x06
122.692793499999993,81,0x00,0x04
122.693067999999997,81,0x00,0x96
122.693342000000001,81,0x00,0x31
122.693625499999996,81,0x00,0xD3
122.693899999999999,81,0x00,0x03
122.694175500000000,81,0x00,0x40
122.694450000000003,81,0x00,0x04
122.694723999999994,81,0x00,0x00
122.694998499999997,81,0x00,0x01
122.695272000000003,81,0x00,0x01
122.695545499999994,81,0x00,0x00
122.695827499999993,81,0x00,0x00
122.696101999999996,81,0x00,0x21
122.696376500000000,81,0x00,0x20
122.696652000000000,81,0x00,0x00
122.696935499999995,81,0x00,0x0C
122.697217499999994,81,0x00,0xF4
122.697401999999997,81,0x04,0xFF
122.697702500000005,81,0x02,0xFF
124.525801500000000,82,0x00,0x46
124.526074499999993,82,0x02,0x9F
124.526375000000002,82,0x60,0xFF
124.526666500000005,82,0x00,0xFF
124.526957999999993,82,0x00,0xFF
124.527249499999996,82,0x00,0xFF
124.529122000000001,83,0x00,0x48
124.529396500000004,83,0x00,0x00
124.529687999999993,83,0x00,0x17
124.529983000000001,83,0xA0,0xFF
124.530179500000003,83,0x3E,0xFF
124.565937000000005,84,0x00,0x26
124.566211499999994,84,0x05,0xFF
124.566513000000000,84,0x84,0xFF
124.566926499999994,84,0x00,0xFF
124.567218999999994,84,0x41,0xFF
124.569089500000004,85,0x00,0x04
124.569282500000000,85,0x00,0x00
124.569556000000006,85,0x00,0x3A
124.569853499999994,85,0x12,0xFF
124.570145999999994,85,0x1D,0xFF
124.571915500000003,86,0x00,0x45
124.572188999999995,86,0x01,0x3F
124.572394000000003,86,0x20,0xFF
124.572684499999994,86,0x06,0xFF
124.572975999999997,86,0xEB,0xFF
124.573267500000000,86,0x91,0xFF
124.574561000000003,86,0x00,0xFF
124.574965500000005,86,0x3E,0xFF
124.575258000000005,86,0x06,0xFF
124.575454500000006,86,0x80,0xFF
124.575745999999995,86,0x24,0xFF
124.576055499999995,86,0x8A,0xFF
124.576347499999997,86,0xDA,0xFF
124.576639000000000,86,0x80,0xFF
124.576947500000003,86,0x1A,0xFF
124.577239000000006,86,0x40,0xFF
124.577531500000006,86,0x0A,0xFF
124.579630499999993,87,0x00,0x00
124.579905499999995,87,0x00,0x01
124.580179999999999,87,0x01,0xBF
124.580569499999996,87,0x01,0xFF
124.586320000000001,88,0x00,0x58
124.586594000000005,88,0x00,0xCE
124.586903500000005,88,0x00,0x69
124.587186000000003,88,0x00,0x04
124.587460500000006,88,0x00,0x49
124.587733999999998,88,0x00,0x04
124.587918999999999,88,0x00,0x5D
124.588291499999997,88,0x00,0xC6
124.588476000000000,88,0x00,0x33
124.588750000000005,88,0x00,0xBF
124.589134999999999,88,0x40,0xFF
124.589426000000003,88,0x75,0xFF
124.596876499999993,89,0x00,0x23
124.597070000000002,89,0x00,0xCF
124.597363500000000,89,0x98,0xFF
124.597655000000003,89,0x00,0xFF
124.597947000000005,89,0x01,0xFF
124.598325000000003,89,0x00,0xFF
124.600269499999996,90,0x00,0x04
124.600453999999999,90,0x00,0x01
124.600827499999994,90,0x00,0x5F
124.601121500000005,90,0x90,0xFF
124.635441000000000,91,0x00,0x40
124.635716500000001,91,0x0A,0x7F
124.636015999999998,91,0x02,0xFF
124.636334500000004,91,0x04,0xFF
124.636626000000007,91,0x00,0xFF
124.638618500000007,92,0x00,0x48
124.638902000000002,92,0x00,0x00
124.639176500000005,92,0x00,0x37
124.639471000000000,92,0xA8,0xFF
124.639762500000003,92,0x76,0xFF
124.641434500000003,93,0x00,0x26
124.641627999999997,93,0x01,0xBF
124.642017499999994,93,0x40,0xFF
